milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
weather is a measure of the condition of the air in a place at a certain time  & (S (NP (NN weather)) (VP (VBZ is) (NP (NP (DT a) (NN measure)) (IN of) (NP (DT the) (NN condition)) (PP (IN of) (NP (DT the) (NN air))) (IN in) (NP (DT a) (NN place)) (PP (IN at) (NP (DT a) (JJ certain) (NN time)))))) 
volcano eruption is when volcano deposits lava to the earth s surface  & (S (NP (NNP volcano) (NN eruption)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (NN volcano)) (VP (NNS deposits) (VP (VBP lava) (PP (IN to) (NP (DT the) (NN earth) (NNP s) (NN surface))))))))) 
when a metal rusts that metal becomes flaky on the surface  & (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN metal)) (VP (VBZ rusts) (NP (WDT that) (NN metal)) (VP (VBZ becomes) (ADJP (JJ flaky)) (PP (IN on) (NP (DT the) (NN surface))))))) 
part of Atlantic Ocean is located in the northern hemisphere  & (S (NP (NP (NN part)) (PP (IN of) (NP (NNP Atlantic) (NNP Ocean)))) (VP (VBZ is) (VP (VBN located) (PP (IN in) (NP (DT the) (JJ northern) (NN hemisphere)))))) 
an egg is a kind of object  & (S (NP (DT an) (NN egg)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
the sun will be the star that appears the brightest to the earth  & (S (NP (DT the) (NN sun)) (VP (MD will) (VP (VB be) (NP (NP (DT the) (NN star)) (SBAR (WHNP (WDT that)) (S (VP (VBZ appears) (NP (DT the) (JJS brightest)) (PP (IN to) (NP (DT the) (NN earth)))))))))) 
humans sometimes eat fish  & (S (NP (NNS humans)) (ADVP (RB sometimes)) (VP (VBP eat) (NP (NN fish)))) 
genetics is a part of biology  & (S (NP (NNP genetics)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NN biology)))))) 
gills are a kind of adaptation for getting oxygen underwater  & (S (NP (NNS gills)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN adaptation)) (PP (IN for) (S (VP (VBG getting) (NP (NN oxygen)) (ADJP (JJ underwater))))))))) 
variety is similar to diversity  & (S (NP (NN variety)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (NP (NN diversity)))))) 
a process in the formation of sedimentary rock is rock being broken down and then deposited  & (S (NP (NP (DT a) (NN process)) (PP (IN in) (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (JJ sedimentary) (NN rock)))))) (VP (VBZ is) (NP (NN rock)) (VP (VBG being) (VP (VBN broken) (PRT (RP down))) (CC and) (VP (ADVP (RB then)) (VP (VBN deposited)))))) 
an eagle is a kind of carnivore  & (S (NP (DT an) (NN eagle)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN carnivore)))))) 
if fossils of a water animal or plant are found in a place then that animal or plant used to live in that place  & (SBAR (IN if) (S (S (NP (NP (NNS fossils)) (PP (IN of) (NP (DT a) (NN water) (NN animal) (CC or) (NN plant)))) (VBP are) (VP (VBN found) (PP (IN in) (NP (DT a) (NN place))))) (ADVP (RB then)) (S (NP (DT that) (NN animal) (CC or) (NN plant)) (VP (VBN used) (S (VP (TO to) (VP (VB live) (PP (IN in) (NP (DT that) (NN place)))))))))) 
silt particles are less dense than other particles in water  & (S (NP (NN silt) (NNS particles)) (VP (VBP are) (ADJP (ADJP (RBR less) (JJ dense)) (PP (IN than) (NP (NP (JJ other) (NNS particles)) (PP (IN in) (NP (NN water)))))))) 
producers provide food for themselves by performing photosynthesis  & (S (NP (NNS producers)) (VP (VBP provide) (NP (NN food)) (PP (IN for) (NP (PRP themselves))) (PP (IN by) (S (VP (VBG performing) (NP (NN photosynthesis))))))) 
sandbars are formed by long shore currents moving sand  & (S (NP (NNS sandbars)) (VP (VBP are) (VP (VBN formed) (PP (IN by) (NP (NP (JJ long) (NN shore) (NNS currents)) (VP (VBG moving) (NP (NN sand)))))))) 
baking soda is a kind of solid  & (S (NP (NNP baking) (NNP soda)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ solid)))))) 
light and dark are different  & (S (ADJP (JJ light) (CC and) (JJ dark)) (VP (VBP are) (ADJP (JJ different)))) 
june is a kind of month  & (S (NP (NNP june)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN month)))))) 
the iron nail has rusted  & (S (NP (DT the) (NN iron) (NN nail)) (VP (VBZ has) (VP (VBN rusted)))) 
water condensing means water changes from water vapor to liquid water by decreasing heat energy  & (S (NP (NN water) (NN condensing)) (VP (VBZ means) (NP (NP (NN water) (NNS changes)) (PP (IN from) (NP (NN water) (NN vapor))) (PP (IN to) (NP (JJ liquid) (NN water))) (PP (IN by) (S (VP (VBG decreasing) (NP (NN heat) (NN energy)))))))) 
when things erode those things may become smaller  & (SBAR (WHADVP (WRB when)) (S (S (NP (NNS things)) (VP (VBP erode))) (NP (DT those) (NNS things)) (VP (MD may) (VP (VB become) (ADJP (JJR smaller)))))) 
echolocation is when some animals detect objects by hearing echoes by emitting sound  & (S (NP (NN echolocation)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT some) (NNS animals)) (VP (VBP detect) (NP (NNS objects)) (PP (IN by) (VBG hearing) (NP (NNS echoes))) (PP (IN by) (S (VP (VBG emitting) (NP (NN sound)))))))))) 
an ecosystem contains nonliving things  & (S (NP (DT an) (NN ecosystem)) (VP (VBZ contains) (NP (VBG nonliving) (NNS things)))) 
a chick pecking at its shell to hatch is an example of an instictive behavior  & (S (NP (DT a) (NNP chick) (VP (NN pecking) (PP (IN at) (NP (PRP$ its) (NN shell))) (S (VP (TO to) (VP (NNP hatch)))))) (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (DT an) (JJ instictive) (NN behavior))))) 
waves will travel at different speed in the mantle and the crust  & (S (NP (NNS waves)) (VP (MD will) (VP (VB travel) (PP (IN at) (NP (JJ different) (NN speed)) (PP (IN in) (NP (NP (DT the) (NN mantle)) (CC and) (NP (DT the) (NN crust)))))))) 
a meteoroid is a kind of meteor  & (S (NP (DT a) (NN meteoroid)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN meteor)))))) 
earth is a planet that rotates on its tilted axis  & (S (NP (NN earth)) (VP (VBZ is) (NP (NP (DT a) (NN planet)) (WHNP (WDT that)) (S (VP (VBZ rotates) (PP (IN on) (NP (PRP$ its) (VBN tilted) (NNP axis)))))))) 
the chemical symbols for the elements found in iron oxide is fe and o  & (S (NP (NP (DT the) (NN chemical) (NNS symbols)) (PP (IN for) (NP (NP (DT the) (NNS elements)) (VP (VBN found) (PP (IN in) (NP (NN iron) (NN oxide))))))) (VP (VBZ is) (NP (NNP fe))) (CC and) (X (XX o))) 
unequal heating of earth s surface causes wind  & (S (NP (NP (JJ unequal) (NN heating)) (PP (IN of) (NP (NNP earth) (NNP s) (NN surface)))) (VP (VBZ causes) (NP (NN wind)))) 
decreasing soil fertility has a negative impact on plants  & (S (S (VP (VBG decreasing) (NP (NN soil) (NN fertility)))) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (NNS plants)))))) 
defenses can help animals avoid predators  & (S (NP (NNS defenses)) (VP (MD can) (VP (VB help) (S (NP (NNS animals)) (VP (VB avoid) (NP (NNS predators))))))) 
a car engine usually converts chemical energy into mechanical energy and heat energy  & (S (NP (DT a) (NN car) (NN engine)) (ADVP (RB usually)) (VBZ converts) (NP (NN chemical) (NN energy)) (PP (IN into) (NP (NP (JJ mechanical) (NN energy)) (CC and) (NP (NN heat) (NN energy))))) 
evolution causes significant trait changes over a long period of time  & (S (NP (NN evolution)) (VP (VBZ causes) (NP (NP (JJ significant) (NN trait) (NNS changes)) (PP (IN over) (NP (NP (DT a) (JJ long) (NN period)) (PP (IN of) (NP (NN time)))))))) 
to increase something in a location means to add that something to that location  & (S (VP (S (VP (TO to) (VP (VB increase) (NP (NN something)) (PP (IN in) (NP (DT a) (NN location)))))) (VP (VBZ means) (S (VP (TO to) (VP (VB add) (NP (IN that) (NN something)) (PP (IN to) (NP (DT that) (NN location))))))))) 
soil is usually part of an environment  & (S (NP (NN soil)) (VP (VBZ is) (ADVP (RB usually)) (NP (NP (NN part)) (PP (IN of) (NP (DT an) (NN environment)))))) 
a mountain glacier is a kind of glacier  & (S (NP (DT a) (NN mountain) (NN glacier)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN glacier)))))) 
a spine is a part of a cactus used for protection  & (S (NP (DT a) (NN spine)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (DT a) (NN cactus)) (VP (VBN used) (PP (IN for) (NP (NN protection))))))))) 
the winter season can cause change to the environment  & (S (NP (DT the) (NN winter) (NN season)) (VP (MD can) (VP (VB cause) (NP (NP (NN change)) (PP (IN to) (NP (DT the) (NN environment))))))) 
genetic information flows from dna to rna to proteins in central dogma of molecular biology  & (S (NP (JJ genetic) (NN information)) (VP (VBZ flows) (PP (PP (IN from) (NP (NNP dna))) (PP (IN to) (NP (NNP rna)))) (IN to) (NP (NP (NNS proteins)) (PP (IN in) (NP (NP (JJ central) (NN dogma)) (PP (IN of) (NP (NNP molecular) (NN biology)))))))) 
flippers can be used by sea turtles for moving in their habitat  & (S (NP (NNS flippers)) (VP (MD can) (VP (VB be) (VP (VBN used) (PP (IN by) (NP (NN sea) (NNS turtles))) (PP (IN for) (S (VP (VBG moving) (PP (IN in) (NP (PRP$ their) (NN habitat)))))))))) 
using a resource requires acquiring that resource  & (S (S (VP (VBG using) (NP (DT a) (NN resource)))) (VP (VBZ requires) (S (VP (VBG acquiring) (NP (DT that) (NN resource)))))) 
the prevailing westerlies move air masses from east to west across the united states  & (S (NP (DT the) (VBG prevailing) (NNS westerlies)) (VP (VBP move) (NP (NN air) (NNS masses)) (PP (IN from) (NP (NNP east)) (PP (IN to) (NP (NNP west)))) (PP (IN across) (NP (DT the) (NNP united) (NNP states))))) 
ozone is located in stratosphere in the atmosphere  & (S (NP (NN ozone)) (VP (VBZ is) (VP (VBN located) (PP (IN in) (NP (NN stratosphere))) (PP (IN in) (NP (DT the) (NN atmosphere)))))) 
plants use energy directly from the sun  & (S (NP (NNS plants)) (VP (VBP use) (NP (NN energy)) (ADVP (RB directly)) (PP (IN from) (NP (DT the) (NN sun))))) 
wood is a kind of object  & (S (NP (NN wood)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
acid rain is acidic  & (S (NP (JJ acid) (NN rain)) (VP (VBZ is) (ADJP (JJ acidic)))) 
eukaryotic cells are more complex in cell structures than prokaryotic cells  & (S (NP (JJ eukaryotic) (NNS cells)) (VP (VBP are) (ADJP (RBR more) (JJ complex)) (PP (IN in) (NP (NN cell) (NNS structures))) (IN than) (NP (JJ prokaryotic) (NNS cells)))) 
the glass of water will heat  & (S (NP (NP (DT the) (NN glass)) (PP (IN of) (NP (NN water)))) (VP (MD will) (VP (VB heat)))) 
learned characteristics are not inherited from parents  & (S (NP (VBN learned) (NNS characteristics)) (VP (VBP are) (RB not) (VP (VBN inherited) (PP (IN from) (NP (NNS parents)))))) 
astronomical body means celestial body  & (S (NP (JJ astronomical) (NN body)) (VP (VBZ means) (NP (JJ celestial) (NN body)))) 
an animal having the same skin color as its environment is an adaptation for hiding in an environment  & (S (NP (NP (DT an) (NN animal)) (VP (VBG having) (NP (NP (DT the) (JJ same) (NN skin) (NN color)) (PP (IN as) (NP (PRP$ its) (NN environment)))))) (VBZ is) (NP (NP (DT an) (NN adaptation)) (PP (IN for) (S (VP (VBG hiding) (PP (IN in) (NP (DT an) (NN environment)))))))) 
a mountain range contains mountains made of rocks  & (S (NP (DT a) (NN mountain) (NN range)) (VP (VBZ contains) (NP (NP (NNS mountains)) (VP (VBN made) (PP (IN of) (NP (NNS rocks))))))) 
a complete rotation of the moon on its axis takes one month  & (S (NP (NP (DT a) (JJ complete) (NN rotation)) (PP (IN of) (NP (DT the) (NN moon))) (PP (IN on) (NP (PRP$ its) (NN axis)))) (VP (VBZ takes) (NP (CD one) (NN month)))) 
erosion causes deposition  & (S (NP (NN erosion)) (VP (VBZ causes) (NP (NNP deposition)))) 
a human cell is a kind of cell  & (S (NP (DT a) (JJ human) (NN cell)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN cell)))))) 
if heat is transferred to the air then the temperature of the air will increase  & (S (SBAR (IN if) (S (NP (NN heat)) (VP (VBZ is) (VP (VBN transferred) (PP (IN to) (NP (DT the) (NN air))))))) (RB then) (NP (NP (DT the) (NN temperature)) (PP (IN of) (NP (DT the) (NN air)))) (VP (MD will) (VP (VB increase)))) 
galaxies often contain hundreds of billions of stars  & (S (NP (NNS galaxies)) (ADVP (RB often)) (VBP contain) (NP (NP (NNS hundreds)) (IN of) (NP (NP (NNS billions)) (PP (IN of) (NP (NNS stars)))))) 
an electron microscope is used for seeing very small objects by making them appear bigger  & (S (NP (DT an) (NN electron) (NN microscope)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG seeing) (NP (ADJP (RB very) (JJ small)) (NNS objects))))) (PP (IN by) (S (VP (VBG making) (S (NP (PRP them)) (VP (VB appear) (ADJP (JJR bigger)))))))))) 
An example of conservation is not using fossil fuel  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (NN conservation)))) (VP (VBZ is) (RB not) (VP (VBG using) (NP (NN fossil) (NN fuel))))) 
there is a white t  shirt  & (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (JJ white) (NN t) (NN shirt)))) 
radial symmetry means an animal has similar body parts dispersed in all directions around a central axis  & (S (NP (NNP radial) (NNP symmetry)) (VP (VBZ means) (SBAR (S (NP (DT an) (NN animal)) (VP (VBZ has) (NP (NP (JJ similar) (NN body) (NNS parts)) (VP (VBN dispersed) (PP (IN in) (NP (NP (DT all) (NNS directions)) (PP (IN around) (NP (DT a) (JJ central) (NN axis)))))))))))) 
sky and temperature are used to describe weather  & (S (NP (NN sky) (CC and) (NN temperature)) (VP (VBP are) (VP (VBN used) (S (VP (TO to) (VP (VB describe) (NP (NN weather)))))))) 
feathers are a part of a bird  & (S (NP (NNS feathers)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT a) (NN bird)))))) 
wood boards are a kind of building material  & (S (NP (NN wood) (NNS boards)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN building) (NN material)))))) 
elements in group 1 will have similar properties to sodium  & (S (NP (NP (NNS elements)) (PP (IN in) (NP (NN group) (CD 1)))) (VP (MD will) (VP (VB have) (NP (JJ similar) (NNS properties)) (PP (TO to) (NP (VB sodium)))))) 
to blend into something means ability to be seen decreases when around that something  & (S (VP (S (VP (TO to) (VP (VB blend) (PP (IN into) (NP (NN something)))))) (VBZ means) (NN ability) (S (VP (TO to) (VB be) (VBN seen) (NP (NNS decreases)) (WHADVP (WHADVP (WRB when)) (RB around)) (NP (DT that) (NN something)))))) 
a burner of a stove will be hot in temperature  & (S (NP (NP (DT a) (NN burner)) (PP (IN of) (NP (DT a) (NN stove)))) (VP (MD will) (VP (VB be) (ADJP (JJ hot)) (PP (IN in) (NP (NN temperature)))))) 
investigating is a kind of process  & (S (S (VP (VBG investigating))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN process)))))) 
fossils of dinosaurs are found in antarctica  & (S (NP (NP (NNS fossils)) (PP (IN of) (NP (NNS dinosaurs)))) (VP (VBP are) (VP (VBN found) (PP (IN in) (NP (NNP antarctica)))))) 
a scratch is a kind of wound  & (S (NP (DT a) (NN scratch)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN wound)))))) 
technology is used for application of science  & (S (NP (NN technology)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (NP (NP (NN application)) (PP (IN of) (NP (NN science)))))))) 
pumice is formed by lava cooling  & (S (NP (NN pumice)) (VP (VBZ is) (VP (VBN formed) (PP (IN by) (NP (NN lava) (NN cooling)))))) 
mountain area means mountain range  & (S (NP (NNP mountain) (NN area)) (VP (VBZ means) (NP (NNP mountain) (NN range)))) 
as air pressure increases the reading on a barometer will rise  & (S (IN as) (NP (NP (NN air) (NN pressure)) (VBZ increases) (NP (NP (DT the) (NN reading)) (PP (IN on) (NP (DT a) (NN barometer))))) (VP (MD will) (VP (VB rise)))) 
if energy is transferred to something through something else then that something gets that energy from that something else  & (SBAR (IN if) (S (NP (NN energy)) (VP (VBZ is) (VP (VBN transferred) (PP (IN to) (NP (NP (NN something)) (PP (IN through) (NP (NP (NN something)) (ADJP (RB else)))))) (ADVP (RB then)) (IN that) (S (NP (NN something)) (VP (VBZ gets) (NP (DT that) (NN energy)) (PP (IN from) (NP (NP (DT that) (NN something)) (RB else))))))))) 
a supply of something is a source of that something  & (S (NP (NP (DT a) (NN supply)) (PP (IN of) (NP (NN something)))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (DT that) (NN something)))))) 
An example of camouflage is an organism looking like leaves  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (NN camouflage)))) (VP (VBZ is) (NP (NP (DT an) (NN organism)) (VP (VBG looking) (PP (IN like) (NP (NNS leaves))))))) 
a electron has a negative 10 electric charge  & (S (NP (DT a) (NN electron)) (VP (VBZ has) (NP (DT a) (JJ negative) (CD 10) (JJ electric) (NN charge)))) 
the lithosphere is made of rocks above coal deposites  & (S (NP (DT the) (NNP lithosphere)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NP (NNS rocks)) (IN above) (NP (NN coal) (NNS deposites))))))) 
increasing the number of trees cut down has a negative impact on the environment  & (S (S (VP (VBG increasing) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (NNS trees)) (VP (VBN cut) (PRT (RP down)))))))) (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT the) (NN environment))))) 
electrons take up the majority of the volume of an atom  & (S (NP (NNS electrons)) (VP (VBP take) (PRT (RP up)) (NP (NP (DT the) (NN majority)) (PP (IN of) (NP (NP (DT the) (NN volume)) (PP (IN of) (NP (DT an) (NN atom)))))))) 
that organism is a part of the biological kingdom plantae  & (S (NP (DT that) (NN organism)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (JJ biological) (NN kingdom) (NNP plantae)))))) 
having blue eyes is an inherited characteristic  & (S (S (VP (VBG having) (NP (JJ blue) (NNS eyes)))) (VP (VBZ is) (NP (DT an) (VBN inherited) (NN characteristic)))) 
cut trees are a kind of resource that are needed to make paper  & (S (NP (NN cut) (NNS trees)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN resource))) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN needed) (S (VP (TO to) (VP (VB make) (NP (NN paper)))))))))))) 
abrasion is a kind of weathering  & (S (NP (NN abrasion)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN weathering)))))) 
a flood will affect low areas more than higher areas  & (S (NP (DT a) (NN flood)) (VP (MD will) (VP (VB affect) (NP (JJ low) (NNS areas)) (ADVP (RBR more)) (IN than) (NP (JJR higher) (NNS areas))))) 
friction causes the temperature of the tire to increase  & (S (NP (NN friction)) (VP (VBZ causes) (S (NP (NP (DT the) (NN temperature)) (PP (IN of) (NP (DT the) (NN tire)))) (VP (TO to) (VP (VB increase)))))) 
An example of biological regulation is insulin being released to control the amount of sugar in blood  & (SINV (NP (NP (DT An) (NN example)) (PP (IN of) (NP (JJ biological) (NN regulation)))) (VP (VP (VBZ is)) (NP (NP (NN insulin)) (VP (VBG being) (VP (VBN released) (S (VP (TO to) (VP (VB control) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN sugar))) (PP (IN in) (NP (NN blood)))))))))))) 
Earth is a kind of planet  & (S (NP (NNP Earth)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN planet)))))) 
nutrients are a kind of matter  & (S (NP (NNS nutrients)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN matter)))))) 
